"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA050 Sex differences: gathering,Code: EA050 Sex differences: gathering,Description: EA050 Sex differences: gathering,Comment: EA050 Sex differences: gathering,Subcase: EA050 Sex differences: gathering,References: EA050 Sex differences: gathering,Focal Year: EA052 Sex Differences: fishing,Code: EA052 Sex Differences: fishing,Description: EA052 Sex Differences: fishing,Comment: EA052 Sex Differences: fishing,Subcase: EA052 Sex Differences: fishing,References: EA052 Sex Differences: fishing,Focal Year: EA054 Sex differences: agriculture,Code: EA054 Sex differences: agriculture,Description: EA054 Sex differences: agriculture,Comment: EA054 Sex differences: agriculture,Subcase: EA054 Sex differences: agriculture,References: EA054 Sex differences: agriculture,Focal Year: EA051 Sex differences: hunting,Code: EA051 Sex differences: hunting,Description: EA051 Sex differences: hunting,Comment: EA051 Sex differences: hunting,Subcase: EA051 Sex differences: hunting,References: EA051 Sex differences: hunting
Ethnographic Atlas,Barabish,Cc7,xd504,Barabish (Cc7),20.0,-5.0,20.0,-5.0,hass1238,Hassaniyya,mey,Afro-Asiatic,,NA,Missing data,,,,,NA,Missing data,,,,1950,NA,Missing data,Performed by slaves or serfs,Timbuctoo,Miner(1953a); ,,NA,Missing data,,,
Ethnographic Atlas,Luwa,Ac29,xd54,Luwa (Ac29),-7.0,19.0,-7.0,19.0,sond1250,Sonde,shc,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Ndoko,Ae38,xd158,Ndoko (Ae38),2.0,21.0,2.0,21.0,doko1244,Doko (Democratic Republic of Congo),,Atlantic-Congo,,NA,Missing data,,,,1920,6,"Females alone perform the activity, male participation being negligible",,,Wijnant(1925-26); ,1920,5,"Both sexes participate, but females do appreciably more than males",,,Wijnant(1925-26); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Wijnant(1925-26); 
Ethnographic Atlas,Kalmyk,Ci1,xd574,Kalmyk (Ci1),46.0,46.0,46.0,46.0,kalm1243,Kalmyk,xal,Mongolic,1920,6,"Females alone perform the activity, male participation being negligible",,with special reference to the Baga Dorbed group,Adelman(nd); Aberle(1953); ,1920,9,The activity is absent or unimportant in the particular society,,with special reference to the Baga Dorbed group,Adelman(nd); Aberle(1953); ,1920,1,"Males alone perform the activity, female participation being negligible",,with special reference to the Baga Dorbed group,Adelman(nd); Aberle(1953); ,1920,1,"Males alone perform the activity, female participation being negligible",,with special reference to the Baga Dorbed group,Adelman(nd); Aberle(1953); 
Ethnographic Atlas,Bgu,Ie34,xd812,Bgu (Ie34),-2.34,139.6,-2.0,140.0,bong1287,Bonggo,bpg,Austronesian,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Yanzi,Ac26,xd51,Yanzi (Ac26),-4.0,18.0,-4.0,18.0,yans1239,Yansi,yns,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Koalib,Ai37,xd367,Koalib (Ai37),12.0,31.0,12.0,31.0,koal1240,Koalib,kib,Heiban,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Sandawe,Aa6,xd6,Sandawe (Aa6),-5.0,36.0,-5.0,36.0,sand1273,Sandawe,sad,Sandawe,1920,6,"Females alone perform the activity, male participation being negligible",,,Kimmenade(1936); Dempwolff(1916); Huntingford(1953b); ,1920,6,"Females alone perform the activity, male participation being negligible",,,Kimmenade(1936); Dempwolff(1916); Huntingford(1953b); ,1920,5,"Both sexes participate, but females do appreciably more than males",,,Kimmenade(1936); Dempwolff(1916); Huntingford(1953b); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Kimmenade(1936); Dempwolff(1916); Huntingford(1953b); 
Ethnographic Atlas,Ishigakians,Ed13,xd640,Ishigakians (Ed13),24.46,124.14,24.0,124.0,yaey1239,Yaeyama,rys,Japonic,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Southern Pomo,Nc19,xd1117,Southern Pomo (Nc19),38.55,-122.94,38.0,-123.0,sout2984,Southern Pomo,peq,Pomoan,,NA,Missing data,,,,,NA,Missing data,,,,1860,9,The activity is absent or unimportant in the particular society,,with special reference to those near Santa Rosa,Aginsky(1935); Gifford(1922b); Gifford and Kroeber(1937a); ,1860,1,"Males alone perform the activity, female participation being negligible",,with special reference to those near Santa Rosa,Aginsky(1935); Gifford(1922b); Gifford and Kroeber(1937a); 
Ethnographic Atlas,Chamorro,If8,xd839,Chamorro (If8),15.13,145.71,15.0,145.0,cham1312,Chamorro,cha,Austronesian,1950,9,The activity is absent or unimportant in the particular society,,with special reference to those of Saipa,Joseph and Murray(1951); Spoehr(1954); ,1950,1,"Males alone perform the activity, female participation being negligible",,with special reference to those of Saipa,Joseph and Murray(1951); Spoehr(1954); ,1950,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,with special reference to those of Saipa,Joseph and Murray(1951); Spoehr(1954); ,1950,9,The activity is absent or unimportant in the particular society,,with special reference to those of Saipa,Joseph and Murray(1951); Spoehr(1954); 
Ethnographic Atlas,Rennell Islanders,Ii10,xd877,Rennell (Ii10),-11.74,160.42,-12.0,160.0,renn1242,Rennell-Bellona,mnv,Austronesian,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Samo,Ag29,xd265,Samo (Ag29),13.0,-3.0,13.0,-3.0,sout2844,Southern Samo,sbd,Mande,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Simboese,Ig8,xd860,Simboese (Ig8),-8.0,157.0,-8.0,157.0,simb1256,Simbo,sbb,Austronesian,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Coniagui,Ag8,xd296,Coniagui (Ag8),13.0,-13.0,13.0,-13.0,wame1240,Wamey,cou,Atlantic-Congo,1910,6,"Females alone perform the activity, male participation being negligible",,with special reference to the Coniagui,Lestrange(1950); Delacour(1912-13); Techer(1933); ,1910,9,The activity is absent or unimportant in the particular society,,with special reference to the Coniagui,Lestrange(1950); Delacour(1912-13); Techer(1933); ,1910,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,with special reference to the Coniagui,Lestrange(1950); Delacour(1912-13); Techer(1933); ,1910,1,"Males alone perform the activity, female participation being negligible",,with special reference to the Coniagui,Lestrange(1950); Delacour(1912-13); Techer(1933); 
Ethnographic Atlas,Camba,Se7,xd1371,Camba (Se7),-18.0,-63.0,-18.0,-63.0,chiq1248,Chiquitano,cax,Chiquitano,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Gurage,Ca8,xd456,Gurage (Ca8),8.0,38.0,8.0,38.0,seba1251,Sebat Bet Gurage,sgw,Afro-Asiatic,,NA,Missing data,,,,,NA,Missing data,,,,1940,2,"Both sexes participate, but males do appreciably more than females",,,Shack(1963); Leslau(1950); ,1940,1,"Males alone perform the activity, female participation being negligible",,,Shack(1963); Leslau(1950); 
Ethnographic Atlas,Chin,Ei19,xd706,Chin (Ei19),22.0,94.0,22.0,94.0,sent1260,Senthang Chin,sez,Sino-Tibetan,,NA,Missing data,,,,1940,2,"Both sexes participate, but males do appreciably more than females",,,Lehman(1963); Bernot and Bernot(1958); Carey and Tuck(1896); Stevenson(1943); ,1940,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Lehman(1963); Bernot and Bernot(1958); Carey and Tuck(1896); Stevenson(1943); ,1940,1,"Males alone perform the activity, female participation being negligible",,,Lehman(1963); Bernot and Bernot(1958); Carey and Tuck(1896); Stevenson(1943); 
Ethnographic Atlas,Luo,Aj6,xd411,Luo (Aj6),-1.0,34.0,-1.0,34.0,luok1236,Luo (Kenya and Tanzania),luo,Nilotic,1940,9,The activity is absent or unimportant in the particular society,,,Southall(1952); Hobley(1902); Shaw(1932); Butt(1952a); Hartmann(1928); Evans-Pritchard(1950a); Evans-Pritchard(1949a); Owen(1933); ,1940,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Southall(1952); Hobley(1902); Shaw(1932); Butt(1952a); Hartmann(1928); Evans-Pritchard(1950a); Evans-Pritchard(1949a); Owen(1933); ,1940,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Southall(1952); Hobley(1902); Shaw(1932); Butt(1952a); Hartmann(1928); Evans-Pritchard(1950a); Evans-Pritchard(1949a); Owen(1933); ,1940,1,"Males alone perform the activity, female participation being negligible",,,Southall(1952); Hobley(1902); Shaw(1932); Butt(1952a); Hartmann(1928); Evans-Pritchard(1950a); Evans-Pritchard(1949a); Owen(1933); 
Ethnographic Atlas,Maguzawa,Cb1,xd458,Maguzawa (Cb1),12.0,10.0,12.0,10.0,kano1249,Kano,,Afro-Asiatic,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Wogeo,Ie4,xd818,Wogeo (Ie4),-3.24,144.1,-3.0,144.0,woge1237,Wogeo,woc,Austronesian,1930,5,"Both sexes participate, but females do appreciably more than males",,"Dap, Wonevaro district",Hogbin(1946c); Hogbin(1946a); Hogbin(1945); Hogbin(1943); Hogbin(1938-39); Hogbin(1935); ,1930,2,"Both sexes participate, but males do appreciably more than females",,"Dap, Wonevaro district",Hogbin(1946c); Hogbin(1946a); Hogbin(1945); Hogbin(1943); Hogbin(1938-39); Hogbin(1935); ,1930,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,"Dap, Wonevaro district",Hogbin(1946c); Hogbin(1946a); Hogbin(1945); Hogbin(1943); Hogbin(1938-39); Hogbin(1935); ,1930,9,The activity is absent or unimportant in the particular society,,"Dap, Wonevaro district",Hogbin(1946c); Hogbin(1946a); Hogbin(1945); Hogbin(1943); Hogbin(1938-39); Hogbin(1935); 
Ethnographic Atlas,Udmurt,ch26,xd564,Udmurt (ch26),57.0,53.0,57.0,53.0,sout2681,South Udmurt,,Uralic,1890,6,"Females alone perform the activity, male participation being negligible",,with special reference to those of the Sarapul'skij Uezd,Kozlova(1964); Rittih(1870); Busygin and Zorin(1984); Vladykin and Hristoljubova(1998); Vladykin and Hristoljubova(1997); Fedjanovich(1997); Vladykin and Hristoljubova(1984); Tolstov(1964); Vereshchagin(1886); Smimov(1890); Vereshchagin(1889); Buch(1882); Ivanova(1999); Maksimov(1997b); Maksimov(1997a); Vladykin and Hristoljubova(1985); Vasil'ev(1902); Majer(1985); Simchenko(1990); Pimenov(1993); Petruhin and Helimskij(1982); Shkljaev(1992); Hristoljubova(1981); Karlov(1990); Dolganova et al.(1995); Haruzina(1898); Kozlova(1982); ,1890,1,"Males alone perform the activity, female participation being negligible",,with special reference to those of the Sarapul'skij Uezd,Kozlova(1964); Rittih(1870); Busygin and Zorin(1984); Vladykin and Hristoljubova(1998); Vladykin and Hristoljubova(1997); Fedjanovich(1997); Vladykin and Hristoljubova(1984); Tolstov(1964); Vereshchagin(1886); Smimov(1890); Vereshchagin(1889); Buch(1882); Ivanova(1999); Maksimov(1997b); Maksimov(1997a); Vladykin and Hristoljubova(1985); Vasil'ev(1902); Majer(1985); Simchenko(1990); Pimenov(1993); Petruhin and Helimskij(1982); Shkljaev(1992); Hristoljubova(1981); Karlov(1990); Dolganova et al.(1995); Haruzina(1898); Kozlova(1982); ,1890,2,"Both sexes participate, but males do appreciably more than females",,with special reference to those of the Sarapul'skij Uezd,Kozlova(1964); Rittih(1870); Busygin and Zorin(1984); Vladykin and Hristoljubova(1998); Vladykin and Hristoljubova(1997); Fedjanovich(1997); Vladykin and Hristoljubova(1984); Tolstov(1964); Vereshchagin(1886); Smimov(1890); Vereshchagin(1889); Buch(1882); Ivanova(1999); Maksimov(1997b); Maksimov(1997a); Vladykin and Hristoljubova(1985); Vasil'ev(1902); Majer(1985); Simchenko(1990); Pimenov(1993); Petruhin and Helimskij(1982); Shkljaev(1992); Hristoljubova(1981); Karlov(1990); Dolganova et al.(1995); Haruzina(1898); Kozlova(1982); ,1890,1,"Males alone perform the activity, female participation being negligible",,with special reference to those of the Sarapul'skij Uezd,Kozlova(1964); Rittih(1870); Busygin and Zorin(1984); Vladykin and Hristoljubova(1998); Vladykin and Hristoljubova(1997); Fedjanovich(1997); Vladykin and Hristoljubova(1984); Tolstov(1964); Vereshchagin(1886); Smimov(1890); Vereshchagin(1889); Buch(1882); Ivanova(1999); Maksimov(1997b); Maksimov(1997a); Vladykin and Hristoljubova(1985); Vasil'ev(1902); Majer(1985); Simchenko(1990); Pimenov(1993); Petruhin and Helimskij(1982); Shkljaev(1992); Hristoljubova(1981); Karlov(1990); Dolganova et al.(1995); Haruzina(1898); Kozlova(1982); 
Ethnographic Atlas,Niueans,Ii9,xd888,Niueans (Ii9),-19.05,-169.86,-19.0,-169.0,niue1239,Niuean,niu,Austronesian,,NA,Missing data,,,,1840,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Loeb(1926a); ,1840,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Loeb(1926a); ,1840,9,The activity is absent or unimportant in the particular society,,,Loeb(1926a); 
Ethnographic Atlas,Khasi,Ei8,xd714,Khasi (Ei8),26.0,92.0,26.0,92.0,khas1269,Khasi,kha,Austroasiatic,1900,6,"Females alone perform the activity, male participation being negligible",,with special reference to those of the Jaintia Hills,McCormack(1964); Gurdon(1907); Gurden(1904); Becker(1909); Chattopadhyay(1941); Guha(1931); McCormack(1967); ,1900,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,with special reference to those of the Jaintia Hills,McCormack(1964); Gurdon(1907); Gurden(1904); Becker(1909); Chattopadhyay(1941); Guha(1931); McCormack(1967); ,1900,5,"Both sexes participate, but females do appreciably more than males",,with special reference to those of the Jaintia Hills,McCormack(1964); Gurdon(1907); Gurden(1904); Becker(1909); Chattopadhyay(1941); Guha(1931); McCormack(1967); ,1900,1,"Males alone perform the activity, female participation being negligible",,with special reference to those of the Jaintia Hills,McCormack(1964); Gurdon(1907); Gurden(1904); Becker(1909); Chattopadhyay(1941); Guha(1931); McCormack(1967); 
Ethnographic Atlas,Iwa,Ad15,xd82,Iwa (Ad15),-10.0,32.0,-10.0,32.0,nyam1275,Nyamwanga,mwn,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,1900,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Coxhead(1914); Wilson(1958); Chisholm(1910); Willis(1966); ,1900,1,"Males alone perform the activity, female participation being negligible",,,Coxhead(1914); Wilson(1958); Chisholm(1910); Willis(1966); 
Ethnographic Atlas,Bashkir,ch12,xd549,Bashkir (ch12),54.0,56.0,54.0,56.0,bash1264,Bashkir,bak,Turkic,1899,6,"Females alone perform the activity, male participation being negligible",,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); ,1899,1,"Males alone perform the activity, female participation being negligible",,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); ,1899,1,"Males alone perform the activity, female participation being negligible",,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); ,1899,1,"Males alone perform the activity, female participation being negligible",,with special reference to the Birskij Uezd Bashkir,Kozlova(1964); Rudenko(1925); Janguzin(1987); Karlov(1990); Maksimov(1997a); Nazarov(1890); Maksimov(1997b); Shakirova(1988); Tolstov(1964); Nikol'skij(1899); van Gennep(1960); Bikbulatov(1981); Bikbulatov(1980a); Bikbulatov(1980); Bikbulatov(1964); Bikbulatov and Pimenov(1998); Bikbulatov and Kuzeev(1976); Rudenko(1953); Kazantsev(1866); Kinkov(1927); Kozlova(1982); 
Ethnographic Atlas,Mangaians,Ij1,xd889,Mangaians (Ij1),-21.93,-157.91,-22.0,-158.0,raro1241,Rarotongan,rar,Austronesian,1820,9,The activity is absent or unimportant in the particular society,,,Buck(1934); ,1820,2,"Both sexes participate, but males do appreciably more than females",,,Buck(1934); ,1820,6,"Females alone perform the activity, male participation being negligible",,,Buck(1934); ,1820,9,The activity is absent or unimportant in the particular society,,,Buck(1934); 
Ethnographic Atlas,Hasania,Cb4,xd481,Hasania (Cb4),14.0,32.0,14.0,32.0,khar1296,Khartoum,,Afro-Asiatic,1920,9,The activity is absent or unimportant in the particular society,,,Reid(1930); ,1920,9,The activity is absent or unimportant in the particular society,,,Reid(1930); ,1920,2,"Both sexes participate, but males do appreciably more than females",,,Reid(1930); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Reid(1930); 
Ethnographic Atlas,Fore,Ie31,xd809,Fore (Ie31),-6.0,145.0,-6.0,145.0,fore1270,Fore,for,Nuclear Trans New Guinea,,NA,Missing data,,,,,NA,Missing data,,,,1950,5,"Both sexes participate, but females do appreciably more than males",,,Berndt(1962); ,1950,1,"Males alone perform the activity, female participation being negligible",,,Berndt(1962); 
Ethnographic Atlas,Nuer,Aj3,xd406,Nuer (Aj3),8.0,32.0,8.0,32.0,nuer1246,Nuer,nus,Nilotic,1930,6,"Females alone perform the activity, male participation being negligible",,,Evans-Pritchard(1936); Tucker(1933); Jackson(1923); Evans-Pritchard(1950b); Evans-Pritchard(1940b); Evans-Pritchard(1940a); Seligman and Seligman(1932); ,1930,2,"Both sexes participate, but males do appreciably more than females",,,Evans-Pritchard(1936); Tucker(1933); Jackson(1923); Evans-Pritchard(1950b); Evans-Pritchard(1940b); Evans-Pritchard(1940a); Seligman and Seligman(1932); ,1930,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Evans-Pritchard(1936); Tucker(1933); Jackson(1923); Evans-Pritchard(1950b); Evans-Pritchard(1940b); Evans-Pritchard(1940a); Seligman and Seligman(1932); ,1930,1,"Males alone perform the activity, female participation being negligible",,,Evans-Pritchard(1936); Tucker(1933); Jackson(1923); Evans-Pritchard(1950b); Evans-Pritchard(1940b); Evans-Pritchard(1940a); Seligman and Seligman(1932); 
Ethnographic Atlas,Bhil,Ef5,xd667,Bhil (Ef5),22.0,74.0,22.0,74.0,bhil1251,Bhili,bhb,Indo-European,1900,5,"Both sexes participate, but females do appreciably more than males",,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); ,1900,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); ,1900,2,"Both sexes participate, but males do appreciably more than females",,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); ,1900,1,"Males alone perform the activity, female participation being negligible",,,Hendley(1875); Bose and Ray(1953); Koppers(1948); Naik(1956); 
Ethnographic Atlas,Chinantec,Nj1,xd1295,Chinantec (Nj1),18.0,-96.0,18.0,-96.0,chil1282,Chiltepec Chinantec,csa,Otomanguean,1940,6,"Females alone perform the activity, male participation being negligible",,Ojitlan,Weitlaner(1951); Weitlaner and Castro Guevara(1954); Merrifield(1959); ,1940,9,The activity is absent or unimportant in the particular society,,Ojitlan,Weitlaner(1951); Weitlaner and Castro Guevara(1954); Merrifield(1959); ,1940,1,"Males alone perform the activity, female participation being negligible",,Ojitlan,Weitlaner(1951); Weitlaner and Castro Guevara(1954); Merrifield(1959); ,1940,1,"Males alone perform the activity, female participation being negligible",,Ojitlan,Weitlaner(1951); Weitlaner and Castro Guevara(1954); Merrifield(1959); 
Ethnographic Atlas,Sherbro,Af14,xd191,Sherbro (Af14),7.52,-12.69,7.0,-13.0,sher1258,Sherbro,bun,Atlantic-Congo,,NA,Missing data,,,,1930,2,"Both sexes participate, but males do appreciably more than females",,,Thomas(1916); McCulloch(1950); Hall(1938); ,1930,5,"Both sexes participate, but females do appreciably more than males",,,Thomas(1916); McCulloch(1950); Hall(1938); ,1930,1,"Males alone perform the activity, female participation being negligible",,,Thomas(1916); McCulloch(1950); Hall(1938); 
Ethnographic Atlas,Koro,Af31,xd210,Koro (Af31),18.0,8.0,18.0,8.0,ashe1269,Ashe,ahs,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Ranon,Ih13,xd866,Ranon (Ih13),-16.18,168.15,-16.0,168.0,nort2839,North Ambrym,mmg,Austronesian,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Kosraeans,If11,xd826,Kusaians (If11),5.31,162.98,5.0,163.0,kosr1238,Kosraean,kos,Austronesian,1860,9,The activity is absent or unimportant in the particular society,,,Sarfert(1919); ,1860,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,,Sarfert(1919); ,1860,1,"Males alone perform the activity, female participation being negligible",,,Sarfert(1919); ,1860,9,The activity is absent or unimportant in the particular society,,,Sarfert(1919); 
Ethnographic Atlas,Chamba,Ah28,xd318,Chamba (Ah28),8.0,11.0,8.0,11.0,samb1305,Samba Leko,ndi,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Toposa,Aj24,xd400,Topotha (Aj24),5.0,34.0,5.0,34.0,topo1242,Toposa,toq,Nilotic,,NA,Missing data,,,,1930,9,The activity is absent or unimportant in the particular society,,,Nalder(1937); Gulliver and Gulliver(1953); ,1930,5,"Both sexes participate, but females do appreciably more than males",,,Nalder(1937); Gulliver and Gulliver(1953); ,1930,1,"Males alone perform the activity, female participation being negligible",,,Nalder(1937); Gulliver and Gulliver(1953); 
Ethnographic Atlas,Kasena,Ag13,xd248,Kasena (Ag13),11.0,-1.0,11.0,-1.0,kase1253,Kasem,xsm,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,1910,2,"Both sexes participate, but males do appreciably more than females",,,Rattray(1932); Manoukian(1952b); Tauxier(1912); Zwernemann(1963); ,,NA,Missing data,,,
Ethnographic Atlas,Fipa,Ad19,xd86,Fipa (Ad19),-8.0,31.0,-8.0,31.0,fipa1238,Fipa,fip,Atlantic-Congo,,NA,Missing data,,,,1910,2,"Both sexes participate, but males do appreciably more than females",,,Fromm(1912); Wills(1966); Popplewell(1937); ,1910,5,"Both sexes participate, but females do appreciably more than males",,,Fromm(1912); Wills(1966); Popplewell(1937); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Fromm(1912); Wills(1966); Popplewell(1937); 
Ethnographic Atlas,Witoto,Se6,xd1370,Witoto (Se6),-1.0,-74.0,-1.0,-74.0,muru1274,Murui Huitoto,huu,Huitotoan,1910,1,"Males alone perform the activity, female participation being negligible",,,Whitten(1915); Murdock(1936b); Tessmann(1930); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Whitten(1915); Murdock(1936b); Tessmann(1930); ,1910,5,"Both sexes participate, but females do appreciably more than males",,,Whitten(1915); Murdock(1936b); Tessmann(1930); ,1910,1,"Males alone perform the activity, female participation being negligible",,,Whitten(1915); Murdock(1936b); Tessmann(1930); 
Ethnographic Atlas,Ijaw,Af21,xd199,Ijaw (Af21),4.37,6.58,2.0,6.0,kala1381,Kalabari,ijn,Ijoid,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
Ethnographic Atlas,Kadazan-Dusun,Ib5,xd754,Dusun (Ib5),6.0,117.0,6.0,117.0,cent2100,Central Dusun,dtp,Austronesian,1920,1,"Males alone perform the activity, female participation being negligible",,with special reference to the village of Sensuron,Williams(nd); Evans(1922); Rutter(1929); Williams(1965); ,1920,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,with special reference to the village of Sensuron,Williams(nd); Evans(1922); Rutter(1929); Williams(1965); ,1920,3,Differentiation of specific tasks by sex but approximately equal participation by both sexes in the total activity,,with special reference to the village of Sensuron,Williams(nd); Evans(1922); Rutter(1929); Williams(1965); ,1920,1,"Males alone perform the activity, female participation being negligible",,with special reference to the village of Sensuron,Williams(nd); Evans(1922); Rutter(1929); Williams(1965); 
Ethnographic Atlas,Tonga,Ac13,xd37,Lake Tonga (Ac13),-12.0,34.0,-12.0,34.0,tong1321,Tonga (Nyasa),tog,Atlantic-Congo,,NA,Missing data,,,,1950,1,"Males alone perform the activity, female participation being negligible",,,Tew(1950); Velsen(1964); ,1950,6,"Females alone perform the activity, male participation being negligible",,,Tew(1950); Velsen(1964); ,,NA,Missing data,,,
Ethnographic Atlas,Susu,Ag26,xd262,Susu (Ag26),15.0,-13.0,15.0,-13.0,susu1250,Susu,sus,Mande,,NA,Missing data,,,,,NA,Missing data,,,,1930,2,"Both sexes participate, but males do appreciably more than females",,,Aubert(1936); Thomas(1916); Anonymous(1939a); ,,NA,Missing data,,,
Ethnographic Atlas,Anuak,Ai44,xd375,Anuak (Ai44),8.0,34.0,8.0,34.0,anua1242,Anuak,anu,Nilotic,,NA,Missing data,,,,,NA,Missing data,,,,1920,4,Equal participation by both sexes without marked or reported differentiation in specific tasks,,,Lienhardt(1957-58); Evans-Prichard(1947); Evans-Prichard(1940); Bacon(1922); ,1920,1,"Males alone perform the activity, female participation being negligible",,,Lienhardt(1957-58); Evans-Prichard(1947); Evans-Prichard(1940); Bacon(1922); 
Ethnographic Atlas,Egba,Af32,xd211,Egba (Af32),7.0,3.0,7.0,3.0,egba1238,Egba,,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,1920,2,"Both sexes participate, but males do appreciably more than females",,Abeouta Province and Benin,Ajisafe(1924); Forde(1951); ,1920,1,"Males alone perform the activity, female participation being negligible",,Abeouta Province and Benin,Ajisafe(1924); Forde(1951); 
Ethnographic Atlas,Ndoro,Ah26,xd316,Ndoro (Ah26),7.0,11.0,7.0,11.0,ndoo1241,Ndoola,ndr,Atlantic-Congo,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,,,NA,Missing data,,,
